   1, 1416,   86,   87, 1210
   2, 1418,   88,   89, 2038
   3, 2038,   89,   90, 1209
   4, 1509, 1669, 1893, 1303
   5,  324, 1911, 1910,  323
   6, 1911,  324,  325, 1979
   7, 1881, 1911, 1979, 1304
   8, 1666, 1807, 1416, 1210
   9, 1740,   83,   84, 2037
  10, 1211,   85,   86, 1416
  11, 1625,   80,   81, 2036
  12, 1212,   82,   83, 1740
  13, 1912, 1305, 1877, 1933
  14,  329, 1963, 1912,  328
  15, 1963, 1888, 1305, 1912
  16, 1829, 1822,  330,  331
  17, 2144, 1763, 1492, 1671
  18, 1403,   71,   72, 2035
  19,   73,   74, 1498, 1215
  20,   75, 1405, 1498,   74
  21, 1214,   76,   77, 1503
  22, 1407, 1213, 1494, 1828
  23, 1503, 1407, 1828, 1570
  24, 1405, 1214, 2089, 1492
  25, 1401,   68,   69, 1216
  26, 1411,   70,   71, 1403
  27, 2090, 2035, 1215, 1575
  28,  334,  335, 1705, 1823
  29, 1853, 1705, 1309, 1619
  30, 1788, 1869,  336,  337
  31, 1861, 1869, 1788, 1310
  32, 1552, 1393, 1394, 1501
  33, 1388,   56,   57, 1390
  34, 1409,   59,   60, 1393
  35, 1393,   60,   61, 1394
  36, 1413,   63,   64, 1396
  37, 1483, 2143, 1564, 2141
  38, 1484, 2143, 1396, 1398
  39, 1501, 1394, 1218, 2099
  40, 1384,   52,   53, 1386
  41, 1486,   55,   56, 1388
  42, 1545, 1486, 1388, 2098
  43, 1312, 1632, 1879, 1913
  44, 1913,  340, 1809, 1312
  45, 1809,  340,  341, 1787
  46,  342, 1772, 1787,  341
  47, 1787, 1720, 1313, 1809
  48, 1373, 1506, 2137, 1372
  49, 1362,   38,   39, 1365
  50, 1467, 1372, 2137, 1563
  51, 1372,   43,   44, 1373
  52, 1377,   47,   48, 1379
  53, 2096, 1377, 1379, 1472
  54, 2096, 1573, 1476, 1377
  55, 1603, 1571, 1654, 1643
  56, 1483, 1413, 1396, 2143
  57,   68, 1401, 1421,   67
  58, 1497, 1507, 1559, 2140
  59, 1569, 1421, 1401, 1497
  60,   78, 1407, 1503,   77
  61, 1213,   79,   80, 1625
  62, 1572, 1771, 1877, 1305
  63, 1494, 1572, 1305, 1888
  64, 1209,   90,   91, 1422
  65, 1422,   91,   92, 1208
  66, 1882, 1803, 1736, 1302
  67,  322, 1939, 1978,  321
  68, 1939, 1882, 1302, 1978
  69, 1673,   93,   94, 2039
  70, 2039,   94,   95, 1207
  71, 1701, 1727, 1885, 1302
  72, 1906,  320,  321, 1978
  73, 1885, 1906, 1978, 1302
  74, 1207,   95,   96, 1729
  75, 1729,   96,   97, 1206
  76, 1872, 1301, 1820, 1729
  77, 1906, 1301, 2048,  320
  78, 1907, 1300, 2047, 2048
  79, 1206,   97,   98, 1680
  80, 1680,   98,   99, 1205
  81, 1739, 1759, 2000, 1300
  82,  318, 1983, 1914,  317
  83, 1914, 1983, 2000, 1299
  84, 1849,  100,  101, 1204
  85, 1299, 1866, 1945, 2077
  86, 1915,  316,  317, 1914
  87, 1873,  102,  103, 1761
  88,  104, 1777, 1761,  103
  89, 1873, 1836, 2083, 1204
  90,  315, 1905, 1976,  314
  91, 1905,  315,  316, 1915
  92, 1786, 1296, 1837, 1777
  93,  106, 1811, 1786,  105
  94, 1777,  104,  105, 1786
  95, 1916,  313,  314, 1976
  96,  108, 1819, 1816,  107
  97,  313, 1916, 1917,  312
  98, 1952, 1819, 1838, 1959
  99,  110, 1846, 1838,  109
 100,  107, 1816, 1811,  106
 101,  311, 1993, 1295,  310
 102, 1294, 2103, 1961, 1994
 103,  112, 1854, 1850,  111
 104,  109, 1838, 1819,  108
 105, 1918,  309,  310, 1295
 106, 1854, 1858, 2123, 1962
 107,  113, 1858, 1854,  112
 108,  111, 1850, 1846,  110
 109,  309, 1918, 1919,  308
 110,  114, 1860, 1858,  113
 111, 2123, 1858, 1860, 1203
 112,  307, 1920, 1897,  306
 113, 1203,  115,  116, 1674
 114, 1674,  116,    2, 1202
 115, 1674, 1293, 2123, 1203
 116,  305,  306, 1897, 1292
 117,    2,  117, 1325, 1599
 118, 1334,  123,  124, 1361
 119, 1750, 1753, 1723, 1718
 120, 1985, 2004, 1256, 1992
 121, 1935,  277,  278, 1898
 122, 1898,  278,  279, 1286
 123,  279,  280, 1956, 1286
 124,  281, 1798, 1956,  280
 125, 1797, 1257, 1824, 1799
 126, 2085, 2006, 1946, 1868
 127, 1943, 2003, 2147, 1229
 128, 1947, 1867, 1197, 1991
 129,  297, 1957, 2044,  296
 130, 1287, 2086, 1957, 1951
 131, 1930, 1899,  299,  300
 132,  298,  299, 1899, 1288
 133, 2021, 2156, 2024, 2022
 134, 2155, 2010, 1195, 2160
 135, 2012, 2151, 1195, 2010
